Schema,Table,Index,Kolonlar,Unique,Scans,Olası_Unused,Duplicate_Aday,Risk,Oneri
public,feed_likes,feed_likes_pkey,id,EVET,0,Manuel dogrulama,hayir,DUSUK,Koru
public,feed_likes,feed_likes_post_id_user_id_key,"post_id, user_id",EVET,0,Manuel dogrulama,hayir,DUSUK,Koru
public,feed_likes,idx_feed_likes_post,post_id,hayir,0,Manuel dogrulama,hayir,DUSUK,scan=0; trafik/plan verisi olmadan SILME. Manuel dogrulama gerekli
public,feed_likes,idx_feed_likes_user,user_id,hayir,0,Manuel dogrulama,hayir,DUSUK,scan=0; trafik/plan verisi olmadan SILME. Manuel dogrulama gerekli
public,feed_posts,feed_posts_cafe_idx,"cafe_id, created_at DESC",hayir,41,hayir,hayir,DUSUK,Koru
public,feed_posts,feed_posts_pkey,id,EVET,41,hayir,hayir,DUSUK,Koru
public,feed_posts,idx_feed_posts_city,city,hayir,41,hayir,hayir,DUSUK,Koru
public,feed_posts,idx_feed_posts_country,country,hayir,41,hayir,hayir,DUSUK,Koru
public,feed_posts,idx_feed_posts_created_at,created_at DESC,hayir,41,hayir,hayir,DUSUK,Koru
public,feed_posts,idx_feed_posts_status,status,hayir,41,hayir,hayir,DUSUK,Koru
public,founding_1000_signups,founding_1000_signups_pkey,id,EVET,1,hayir,hayir,DUSUK,Koru
public,founding_1000_signups,founding_1000_signups_user_id_key,user_id,EVET,1,hayir,hayir,DUSUK,Koru
public,generated_posts,generated_posts_pkey,id,EVET,0,Manuel dogrulama,hayir,DUSUK,Koru
public,generated_posts,idx_generated_posts_created_at,created_at DESC,hayir,0,Manuel dogrulama,hayir,DUSUK,scan=0; trafik/plan verisi olmadan SILME. Manuel dogrulama gerekli
public,geo_cities,geo_cities_country_active_sort_idx,"country_id, is_active, sort_order, name",hayir,77724,hayir,hayir,DUSUK,Koru
public,geo_cities,geo_cities_country_id_name_key,"country_id, name",EVET,77724,hayir,hayir,DUSUK,Koru
public,geo_cities,geo_cities_name_idx,name,hayir,77724,hayir,hayir,DUSUK,Koru
public,geo_cities,geo_cities_pkey,id,EVET,77724,hayir,hayir,DUSUK,Koru
public,geo_countries,geo_countries_active_sort_idx,"is_active, sort_order, name",hayir,77617,hayir,hayir,DUSUK,Koru
public,geo_countries,geo_countries_code_key,code,EVET,77617,hayir,hayir,DUSUK,Koru
public,geo_countries,geo_countries_name_idx,name,hayir,77617,hayir,hayir,DUSUK,Koru
public,geo_countries,geo_countries_pkey,id,EVET,77617,hayir,hayir,DUSUK,Koru
public,gorevler,gorevler_pkey,id,EVET,9,hayir,hayir,DUSUK,Koru
public,incomes,idx_incomes_category,category,hayir,64,hayir,hayir,DUSUK,Koru
public,incomes,idx_incomes_currency,currency,hayir,64,hayir,hayir,DUSUK,Koru
public,incomes,idx_incomes_date,income_date DESC,hayir,64,hayir,hayir,DUSUK,Koru
public,incomes,idx_incomes_status,status,hayir,64,hayir,hayir,DUSUK,Koru
public,incomes,incomes_pkey,id,EVET,64,hayir,hayir,DUSUK,Koru
public,independent_profiles,independent_profiles_pkey,id,EVET,739,hayir,hayir,DUSUK,Koru
public,independent_profiles,independent_profiles_slug_key,slug,EVET,739,hayir,hayir,DUSUK,Koru
public,individual_profile_details,individual_profile_details_pkey,user_id,EVET,176,hayir,hayir,DUSUK,Koru
public,influencer_social_media_links,influencer_social_media_links_created_at_idx,created_at DESC,hayir,120,hayir,hayir,DUSUK,Koru
public,influencer_social_media_links,influencer_social_media_links_name_idx,name,hayir,120,hayir,hayir,DUSUK,Koru
public,influencer_social_media_links,influencer_social_media_links_pkey,id,EVET,120,hayir,hayir,DUSUK,Koru
public,interest_registrations,idx_interest_category,category,hayir,4,hayir,hayir,DUSUK,Koru
public,interest_registrations,idx_interest_created,created_at DESC,hayir,4,hayir,hayir,DUSUK,Koru
public,interest_registrations,interest_registrations_pkey,id,EVET,4,hayir,hayir,DUSUK,Koru
public,item_type_attribute_rules,idx_item_type_attribute_rules_item_type,item_type,hayir,43,hayir,hayir,DUSUK,Koru
public,item_type_attribute_rules,item_type_attribute_rules_item_type_attribute_id_key,"item_type, attribute_id",EVET,43,hayir,hayir,DUSUK,Koru
public,item_type_attribute_rules,item_type_attribute_rules_pkey,id,EVET,43,hayir,hayir,DUSUK,Koru
public,item_type_feature_defaults,idx_item_type_feature_defaults_item_type,item_type,hayir,40,hayir,hayir,DUSUK,Koru
public,item_type_feature_defaults,item_type_feature_defaults_item_type_feature_key_key,"item_type, feature_key",EVET,40,hayir,hayir,DUSUK,Koru
public,item_type_feature_defaults,item_type_feature_defaults_pkey,id,EVET,40,hayir,hayir,DUSUK,Koru
public,item_type_features,item_type_features_pkey,"item_type, feature_key",EVET,384,hayir,hayir,DUSUK,Koru
public,job_applications,job_applications_pkey,id,EVET,2,hayir,hayir,DUSUK,Koru
public,job_listings,idx_job_listings_country_city,"country, city",hayir,1,hayir,hayir,DUSUK,Koru
public,job_listings,idx_job_listings_status,status,hayir,1,hayir,hayir,DUSUK,Koru
